频率(Hz) 周期(s)	区分两个频率的周期分辨率(s)
   1 	 1.000000000
   2 	 0.500000000 	 0.500000000
   3 	 0.333333333 	 0.166666667
   4 	 0.250000000 	 0.083333333
   5 	 0.200000000 	 0.050000000
   6 	 0.166666667 	 0.033333333
   7 	 0.142857143 	 0.023809524
   8 	 0.125000000 	 0.017857143
   9 	 0.111111111 	 0.013888889
  10 	 0.100000000 	 0.011111111
  11 	 0.090909091 	 0.009090909
  12 	 0.083333333 	 0.007575758
  13 	 0.076923077 	 0.006410256
  14 	 0.071428571 	 0.005494505
  15 	 0.066666667 	 0.004761905
  16 	 0.062500000 	 0.004166667
  17 	 0.058823529 	 0.003676471
  18 	 0.055555556 	 0.003267974
  19 	 0.052631579 	 0.002923977
  20 	 0.050000000 	 0.002631579
  21 	 0.047619048 	 0.002380952
  22 	 0.045454545 	 0.002164502
  23 	 0.043478261 	 0.001976285
  24 	 0.041666667 	 0.001811594
  25 	 0.040000000 	 0.001666667
  26 	 0.038461538 	 0.001538462
  27 	 0.037037037 	 0.001424501
  28 	 0.035714286 	 0.001322751
  29 	 0.034482759 	 0.001231527
  30 	 0.033333333 	 0.001149425
  31 	 0.032258065 	 0.001075269
  32 	 0.031250000 	 0.001008065
  33 	 0.030303030 	 0.000946970
  34 	 0.029411765 	 0.000891266
  35 	 0.028571429 	 0.000840336
  36 	 0.027777778 	 0.000793651
  37 	 0.027027027 	 0.000750751
  38 	 0.026315789 	 0.000711238
  39 	 0.025641026 	 0.000674764
  40 	 0.025000000 	 0.000641026
  41 	 0.024390244 	 0.000609756
  42 	 0.023809524 	 0.000580720
  43 	 0.023255814 	 0.000553710
  44 	 0.022727273 	 0.000528541
  45 	 0.022222222 	 0.000505051
  46 	 0.021739130 	 0.000483092
  47 	 0.021276596 	 0.000462535
  48 	 0.020833333 	 0.000443262
  49 	 0.020408163 	 0.000425170
  50 	 0.020000000 	 0.000408163
  51 	 0.019607843 	 0.000392157
  52 	 0.019230769 	 0.000377074
  53 	 0.018867925 	 0.000362845
  54 	 0.018518519 	 0.000349406
